date,value
2022-01-01,0.0
2022-01-02,8.092
2022-01-03,0.0
2022-01-04,0.392
2022-01-05,4.0040000000000004
2022-01-06,0.0
2022-01-07,3.276
2022-01-08,13.244
2022-01-09,6.257999999999999
2022-01-10,0.0
2022-01-11,1.148
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.11199999999999999
2022-01-16,0.168
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,2.072
2022-01-20,3.8919999999999995
2022-01-21,0.182
2022-01-22,0.0
2022-01-23,0.22399999999999998
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,2.94
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,9.198
2022-02-01,2.6039999999999996
2022-02-02,1.0779999999999998
2022-02-03,0.5459999999999999
2022-02-04,7.4479999999999995
2022-02-05,0.756
2022-02-06,12.334
2022-02-07,0.238
2022-02-08,0.11199999999999999
2022-02-09,0.476
2022-02-10,4.816
2022-02-11,1.89
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,1.8479999999999999
2022-02-15,15.413999999999998
2022-02-16,4.13
2022-02-17,0.0
2022-02-18,0.42
2022-02-19,17.556
2022-02-20,25.368
2022-02-21,7.475999999999999
2022-02-22,2.94
2022-02-23,0.0
2022-02-24,6.86
2022-02-25,0.27999999999999997
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.364
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.13999999999999999
2022-03-13,0.055999999999999994
2022-03-14,0.392
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.84
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.21
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,2.9539999999999997
2022-03-31,18.606
2022-04-01,4.4799999999999995
2022-04-02,0.0
2022-04-03,3.346
2022-04-04,19.165999999999997
2022-04-05,1.68
2022-04-06,1.9739999999999998
2022-04-07,27.09
2022-04-08,1.344
2022-04-09,0.938
2022-04-10,0.26599999999999996
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.238
