date,value
2022-01-01,0.0
2022-01-02,7.514
2022-01-03,0.0
2022-01-04,0.36400000000000005
2022-01-05,3.7180000000000004
2022-01-06,0.0
2022-01-07,3.042
2022-01-08,12.298000000000002
2022-01-09,5.811
2022-01-10,0.0
2022-01-11,1.066
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.10400000000000001
2022-01-16,0.15600000000000003
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,1.924
2022-01-20,3.614
2022-01-21,0.169
2022-01-22,0.0
2022-01-23,0.20800000000000002
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,2.7300000000000004
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,8.541
2022-02-01,2.4179999999999997
2022-02-02,1.0010000000000001
2022-02-03,0.507
2022-02-04,6.916
2022-02-05,0.7020000000000001
2022-02-06,11.453000000000001
2022-02-07,0.22100000000000003
2022-02-08,0.10400000000000001
2022-02-09,0.44200000000000006
2022-02-10,4.472
2022-02-11,1.7550000000000001
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,1.7160000000000002
2022-02-15,14.313
2022-02-16,3.8350000000000004
2022-02-17,0.0
2022-02-18,0.39
2022-02-19,16.302000000000003
2022-02-20,23.556
2022-02-21,6.942
2022-02-22,2.7300000000000004
2022-02-23,0.0
2022-02-24,6.370000000000001
2022-02-25,0.26
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.338
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.13
2022-03-13,0.052000000000000005
2022-03-14,0.36400000000000005
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.78
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.195
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,2.743
2022-03-31,17.277
2022-04-01,4.16
2022-04-02,0.0
2022-04-03,3.107
2022-04-04,17.797
2022-04-05,1.56
2022-04-06,1.833
2022-04-07,25.155
2022-04-08,1.2480000000000002
2022-04-09,0.8710000000000001
2022-04-10,0.24700000000000003
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.22100000000000003
